Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.263,2.195,-1.207694312751476,2.957,0.2234,0.2148,0.09888,0.1733,0.155,0.9595,1.066,0.738,3.064,5.521,0.7363488072707104
1.26,2.338,-1.4236381656346966,2.762,0.2124,0.1099,0.1892,0.05127,0.321,1.005,0.8508,0.09,2.808,4.788,0.6471609861971085
1.548,2.192,-1.324101545946337,2.717,0.3259,0.1599,0.1501,0.1453,0.2148,1.014,0.8228,0.716,2.926,5.496,0.7234748711711386
2.385,2.198,-1.1613001256085964,3.724,0.7214,0.1965,0.3149,0.2441,0.531,0.9387,0.9705,0.511,3.119,5.265,0.9644833228659503
3.059,2.053,-0.7378477265954066,5.443,1.001,0.8081,0.5054,0.3552,0.719,0.9375,0.8899,0.419,3.621,5.16,1.2876876894503828
3.533,1.93,0.30306912675574227,5.397,1.2,1.376,0.6482,0.3552,0.99,0.9082,1.019,0.572,4.855,5.334,1.5193057605629783
3.655,1.741,0.55022361462599,5.406,1.262,1.685,0.7312,0.3625,1.224,1.132,1.067,0.766,5.148,5.553,1.6318269678854993
3.846,1.649,0.4059798691454019,5.604,1.299,1.918,0.6897,0.4883,1.155,1.445,1.472,0.315,4.977,5.043,1.6905816557621172
3.931,1.638,0.6506037649896751,5.641,1.313,2.229,0.7825,0.293,1.29,1.77,1.692,0.462,5.267,5.209,1.8076753137491395
3.958,1.611,0.5620330440805413,5.698,1.453,2.034,0.6702,0.4639,1.37,2.307,1.951,0.056,5.162,4.749,1.8445110870067118
4.181,1.429,0.7720721822364859,5.656,1.442,2.198,0.7739,0.6201,1.45,2.952,1.982,0.35,5.411,5.082,1.9838393485197077
3.851,1.362,0.9146288663664248,5.881,1.469,2.28,0.8313,0.5957,1.404,3.74,2.194,0.42,5.58,5.162,2.078552405530535
4.106,1.47,0.9146288663664248,5.66,1.42,2.239,0.7874,0.5188,1.417,3.942,2.24,0.064,5.58,4.758,2.0649024055305354
3.966,1.372,0.8269016761326164,5.612,1.422,2.305,0.7947,0.459,1.394,4.365,2.195,0.75,5.476,5.535,2.121800139677718
4.135,1.322,0.5341965317948134,5.59,1.346,2.283,0.7202,0.5103,1.416,4.736,2.406,0.58,5.129,5.342,2.1315580443162343
4.02,1.193,0.7897863264183133,5.841,1.461,2.368,0.7812,0.5164,1.387,5.017,2.512,0.528,5.432,5.284,2.2011988605348596
